Sector,start_time,end_time,mid_time
1,1325.29278,1353.17778,1339.2352799999999
2,1354.10102,1381.5146,1367.80781
3,1382.03987,1409.38829,1395.7140800000002
4,1410.89974,1436.84918,1423.87446
5,1437.82566,1464.40056,1451.11311
6,1465.21262,1490.04359,1477.628105
7,1491.62553,1516.08524,1503.855385
8,1517.3415,1541.99982,1529.67066
9,1543.21648,1568.47481,1555.8456449999999
10,1569.43176,1595.68036,1582.55606
11,1596.77203,1623.89147,1610.33175
12,1624.94979,1652.89144,1638.920615
13,1653.91505,1682.3567,1668.135875
14,1683.34838,1710.20392,1696.77615
15,1711.35947,1737.40946,1724.384465
16,1738.64697,1763.31918,1750.983075
17,1764.67891,1789.69417,1777.1865400000002
18,1790.65111,1815.03026,1802.8406850000001
19,1816.07749,1841.14831,1828.6129
20,1842.49831,1868.82191,1855.6601099999998
21,1870.42885,1897.78023,1884.10454
22,1899.30103,1926.49269,1912.89686
23,1928.09965,1954.87464,1941.487145
24,1955.7899,1982.28017,1969.0350349999999
25,1983.62738,2009.30515,1996.466265
26,2010.26209,2035.1343,2022.698195
27,2036.2732,2060.64125,2048.457225
28,2061.8454,2087.09678,2074.47109
29,2088.23429,2114.43289,2101.33359
30,2115.88011,2143.22177,2129.55094
31,2144.50927,2169.94398,2157.2266250000002
32,2174.21898,2200.23147,2187.225225
33,2201.7273,2227.57173,2214.649515
34,2228.74533,2254.06476,2241.4050450000004
35,2254.98421,2279.97864,2267.481425
36,2280.89808,2305.98835,2293.4432150000002
37,2307.23418,2332.57862,2319.9064
38,2333.84945,2360.55083,2347.20014
39,2361.76612,2389.7175,2375.74181
40,2390.64805,2418.85359,2404.75082
41,2419.98415,2446.57858,2433.281365
42,2447.68551,2473.15911,2460.42231
43,2474.1619,2498.88828,2486.52509
44,2500.18272,2524.43965,2512.3111849999996
45,2525.50215,2550.62436,2538.063255
46,2551.56047,2578.70074,2565.1306050000003
47,2579.79657,2606.93962,2593.368095
48,2607.9285,2635.98544,2621.95697
49,2637.46738,2664.31459,2650.890985
50,2665.26598,2691.50902,2678.3875
51,2692.94236,2717.53401,2705.238185
52,2718.62984,2743.07567,2730.852755
53,2743.99094,2768.97843,2756.4846850000004
54,2769.8937,2796.12841,2783.011055
55,2797.09507,2824.26312,2810.679095
56,2825.25202,2853.13811,2839.195065
57,2853.34923,2882.11449,2867.73186
58,2882.32421,2910.04781,2896.1860100000004
59,2910.25892,2936.68669,2923.4728050000003
60,2936.89779,2962.5825,2949.7401449999998
61,2962.79362,2988.22555,2975.509585
62,2988.43528,3014.15193,3001.293605
63,3014.36304,3040.89914,3027.63109
64,3041.10886,3068.03107,3054.5699649999997
65,3068.73384,3096.62827,3082.681055
66,3097.66856,3126.42688,3112.04772
67,3126.63659,3154.39491,3140.51575
68,3154.60602,3182.13795,3168.3719849999998
69,3182.34906,3208.13794,3195.2435
70,3208.34907,3233.8185,3221.083785
71,3234.0296,3259.96847,3246.999035
72,3260.17821,3285.58237,3272.88029
73,3285.79347,3312.64902,3299.2212449999997
74,3312.85874,3339.56845,3326.213595
75,3339.77956,3367.48232,3353.63094
76,3367.69136,3394.77746,3381.23441
77,3395.48091,3423.5485,3409.514705
78,3434.26378,3452.32211,3443.292945
79,3452.53322,3479.67348,3466.10335
80,3479.8832,3506.33597,3493.109585
81,3506.5464,3533.17694,3519.8616700000002
82,3533.38666,3559.24637,3546.316515
83,3559.42137,3584.37553,3571.8984499999997
84,3584.58386,3610.34079,3597.4623250000004
85,3610.54913,3636.04495,3623.29704
86,3636.25467,3662.82688,3649.540775
87,3663.03521,3689.93798,3676.4865950000003
88,3690.14631,3717.92408,3704.035195
89,3718.13241,3746.9449,3732.5386550000003
90,3747.15323,3775.07683,3761.11503
91,3775.28516,3802.75737,3789.021265
92,3802.9657,3829.64208,3816.30389
93,3829.85180,3856.04901,3842.950405
94,3856.25735,3882.11844,3869.187895
95,3882.32678,3907.55871,3894.942745
96,3907.76843,3933.44481,3920.60662
97,3933.65314,3988.28506,3960.9691000000003
98,3988.49339,4045.89892,4017.196155